country_labels,country,year,lat,lon,GID_1,GID_2,wealthpooled,households,urban_rural
0,angola,2011,-12.350257,13.534922,AGO.2,AGO.2.9,2.595617533,36,1
0,angola,2011,-12.360865,13.551494,AGO.2,AGO.2.9,2.209620476,32,1
0,angola,2011,-12.613421,13.413085,AGO.2,AGO.2.3,0.906468868,36,1
0,angola,2011,-12.581454,13.397711,AGO.2,AGO.2.3,1.105359197,35,1
0,angola,2011,-12.578135,13.418748,AGO.2,AGO.2.3,1.879343867,37,1
0,angola,2011,-12.575305,13.408575,AGO.2,AGO.2.3,1.749317408,27,1
0,angola,2011,-11.188879,13.838995,AGO.7,AGO.7.11,0.182361424,33,1
0,angola,2011,-11.20005,13.832946,AGO.7,AGO.7.11,0.691215992,30,1
0,angola,2011,-8.593237,13.643248,AGO.1,AGO.1.2,0.527797997,36,1
0,angola,2011,-8.583901,13.664315,AGO.1,AGO.1.2,0.891160488,35,1
0,angola,2011,-12.752814,15.742476,AGO.9,AGO.9.5,0.936776996,33,1
0,angola,2011,-12.782553,15.7543,AGO.9,AGO.9.5,-0.052652188,34,1
0,angola,2011,-12.600115,13.200098,AGO.2,AGO.2.1,-0.073469914,36,0
0,angola,2011,-12.594752,13.202681,AGO.2,AGO.2.1,0.721672714,37,0
0,angola,2011,-12.426923,13.554357,AGO.2,AGO.2.9,-0.117268577,36,0
0,angola,2011,-12.426737,13.558511,AGO.2,AGO.2.9,0.38161853,37,0
0,angola,2011,-13.434386,14.269446,AGO.2,AGO.2.7,-1.142210245,37,0
0,angola,2011,-13.465144,14.278094,AGO.2,AGO.2.7,-0.852930486,37,0
0,angola,2011,-12.34475,14.773096,AGO.2,AGO.2.2,-0.463503242,37,1
0,angola,2011,-12.371371,14.753342,AGO.2,AGO.2.2,-1.057123303,37,0
0,angola,2011,-10.871302,14.353967,AGO.7,AGO.7.1,-1.0633744,37,0
0,angola,2011,-10.858034,14.35882,AGO.7,AGO.7.1,0.409533501,37,0
0,angola,2011,-10.419603,13.970724,AGO.7,AGO.7.7,-0.906610668,33,0
0,angola,2011,-10.390981,13.984454,AGO.7,AGO.7.7,-1.178293943,23,0
0,angola,2011,-11.537386,14.726956,AGO.7,AGO.7.10,-1.043964148,28,0
0,angola,2011,-11.517536,14.75472,AGO.7,AGO.7.10,-1.131354451,26,0
0,angola,2011,-9.096796,13.6464,AGO.1,AGO.1.3,0.152510479,37,0
0,angola,2011,-9.172912,13.648187,AGO.1,AGO.1.3,-0.813847542,33,0
0,angola,2011,-8.159112,14.469092,AGO.1,AGO.1.5,-0.430856824,37,0
0,angola,2011,-8.159944,14.460016,AGO.1,AGO.1.5,-0.249424756,37,0
0,angola,2011,-6.013011,14.173505,AGO.18,AGO.18.2,-0.837387085,36,0
0,angola,2011,-5.869627,14.099057,AGO.18,AGO.18.2,-0.932220936,17,0
0,angola,2011,-5.872087,13.439567,AGO.18,AGO.18.4,-0.94360435,37,0
0,angola,2011,-5.897936,13.408697,AGO.18,AGO.18.4,-1.149295926,37,0
0,angola,2011,-12.106623,16.69557,AGO.3,AGO.3.7,-1.048506498,25,0
0,angola,2011,-12.186224,16.745166,AGO.3,AGO.3.7,-0.829582512,35,0
0,angola,2011,-11.383436,16.205631,AGO.3,AGO.3.1,-0.623327672,37,0
0,angola,2011,-11.342776,16.201752,AGO.3,AGO.3.1,-0.948899269,31,0
0,angola,2011,-12.216219,17.517328,AGO.3,AGO.3.2,-0.951153219,33,0
0,angola,2011,-12.170704,17.546887,AGO.3,AGO.3.2,-1.066079617,31,0
0,angola,2011,-12.13176,17.923544,AGO.3,AGO.3.6,-1.242906451,32,0
0,angola,2011,-13.913492,17.286135,AGO.3,AGO.3.5,-1.228121638,36,0
0,angola,2011,-13.751458,17.183673,AGO.3,AGO.3.5,-1.163341045,34,0
0,angola,2011,-12.91732,15.720189,AGO.9,AGO.9.5,0.90219295,32,0
0,angola,2011,-12.747986,15.767361,AGO.9,AGO.9.5,0.209765986,30,0
0,angola,2011,-12.79096,15.743495,AGO.9,AGO.9.5,-0.164373964,26,0
0,angola,2011,-12.875445,15.760207,AGO.9,AGO.9.5,-0.212368861,35,0
0,angola,2011,-12.743259,15.761831,AGO.9,AGO.9.5,0.206417516,37,0
0,angola,2011,-12.772853,15.756213,AGO.9,AGO.9.5,0.293191046,34,0
0,angola,2011,-12.984558,15.943458,AGO.9,AGO.9.5,-0.040779337,36,0
0,angola,2011,-12.73975,15.662196,AGO.9,AGO.9.5,-0.367856503,35,0
0,angola,2011,-12.537665,16.250486,AGO.9,AGO.9.3,-0.818283558,35,0
0,angola,2011,-12.565216,16.261759,AGO.9,AGO.9.3,-0.871328175,34,0
0,angola,2011,-13.43746,15.412271,AGO.9,AGO.9.2,-0.835232496,37,0
0,angola,2011,-13.530546,15.460572,AGO.9,AGO.9.2,-0.909515858,12,0
0,angola,2011,-11.971578,16.488123,AGO.9,AGO.9.8,-0.801196516,36,0
0,angola,2011,-5.564471,12.20079,AGO.4,AGO.4.3,1.03297925,32,1
0,angola,2011,-5.57374,12.192002,AGO.4,AGO.4.3,1.302539945,31,1
0,angola,2011,-9.527211,16.338669,AGO.14,AGO.14.9,0.643735647,37,1
0,angola,2011,-9.542977,16.318552,AGO.14,AGO.14.9,1.17173481,37,1
0,angola,2011,-9.692947,14.432255,AGO.6,AGO.6.5,0.945922434,37,1
0,angola,2011,-9.68139,14.435284,AGO.6,AGO.6.5,0.21190238,36,1
0,angola,2011,-7.61528,15.052982,AGO.17,AGO.17.16,1.835455298,34,1
0,angola,2011,-7.619236,15.061034,AGO.17,AGO.17.16,1.376656771,37,1
0,angola,2011,-7.768684,15.252056,AGO.17,AGO.17.10,1.061425209,37,1
0,angola,2011,-7.774466,15.251551,AGO.17,AGO.17.10,0.656859934,37,1
0,angola,2011,-4.593331,12.862203,AGO.4,AGO.4.1,0.034438599,34,0
0,angola,2011,-4.465606,12.862364,AGO.4,AGO.4.1,-0.622969925,11,0
0,angola,2011,-9.598896,21.581054,AGO.13,AGO.13.3,-1.240643978,36,0
0,angola,2011,-9.055912,21.48238,AGO.13,AGO.13.3,-1.212345362,24,0
0,angola,2011,-10.556164,22.039559,AGO.13,AGO.13.3,-1.128011346,37,0
0,angola,2011,-10.559984,22.166975,AGO.13,AGO.13.3,-1.036235213,37,0
0,angola,2011,-11.210758,19.821867,AGO.13,AGO.13.2,-1.233239532,37,0
0,angola,2011,-11.150213,19.794632,AGO.13,AGO.13.2,-1.252532601,28,0
0,angola,2011,-7.695138,21.382575,AGO.12,AGO.12.1,-1.013151884,37,0
0,angola,2011,-7.728569,21.314003,AGO.12,AGO.12.1,-0.952350855,37,0
0,angola,2011,-7.36819,20.809591,AGO.12,AGO.12.4,-0.157152787,37,0
0,angola,2011,-7.384159,20.796074,AGO.12,AGO.12.4,-0.794834495,37,0
0,angola,2011,-9.761993,19.65721,AGO.12,AGO.12.7,-1.032770038,36,0
0,angola,2011,-9.726207,19.631708,AGO.12,AGO.12.7,-1.120792508,36,0
0,angola,2011,-9.500242,17.465337,AGO.12,AGO.12.9,-0.955533028,37,0
0,angola,2011,-9.498591,17.830035,AGO.12,AGO.12.9,-1.143002033,37,0
0,angola,2011,-9.568134,16.201997,AGO.14,AGO.14.9,-0.722014427,36,0
